,,train_rmse,test_rmse,train_r2,test_r2
fun1,min,2.037331443013871,2.090535297354448,0.1457622647285461,0.1353051662445068
fun1,mean,2.2378306398382355,2.2874510646334207,0.5129198233286539,0.49416333039601645
fun1,std,0.21271249104891077,0.19600265622719762,0.09728220243980158,0.09417472603920601
fun2,min,2.1470277309417725,2.1062963008880615,0.5035059452056885,0.4983717203140259
fun2,mean,2.2057631810506186,2.229926029841105,0.5304895977179209,0.5229356328646342
fun2,std,0.03420996616472212,0.055180207841791985,0.010840634991911945,0.013230524070335632
fun3,min,2.0143304305675787,2.000231668269658,0.5607612898268746,0.5445827066776037
fun3,mean,2.07826860473266,2.1209926269997132,0.5831886807559048,0.5682748158818511
fun3,std,0.032046049297001424,0.0492907767189733,0.009965963237294114,0.015204514844341488
